Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
DIGITALNI MARKETING,"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",LJUBLJANA,10.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
DIGITALNI MARKETING,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2025
ADMINISTRATIVNA DELA,DELO NA RECEPCIJI,LJUBLJANA,7.56,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
PAKIRANJE,Brez naslova,LJUBLJANA,9.0,3,PO DOGOVORU,DOPOLDAN,3. 9. 2025
ADMINISTRATIVNA DELA,DELO V PRAVNI PISARNI,LJUBLJANA,7.31,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
ANIMATOR/KA,DELO Z OTROKI,LJUBLJANA,8.2,4,PO DOGOVORU,POPOLDAN,Brez podatka
DELO NA RECEPCIJI,STREŽBA,LJUBLJANA,8.2,4,PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
STREŽBA,Brez naslova,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
ASISTENT/KA,GARDEROBER-KA,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
VADITELJ/ICA,Brez naslova,DOMŽALE,10.18,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
PRODAJA,SVETOVANJE PRI PRODAJI,VELENJE,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POUČEVANJE,Brez naslova,LITIJA,15.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
POUČEVANJE,Brez naslova,LITIJA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
RAZVOZ,DOSTAVA HRANE,CELJE,7.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
RAČUNALNIŠKE STORITVE,PODPORA,LJUBLJANA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,POMOČ V TRGOVINI,PTUJ,7.14,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,DELO NA RECEPCIJI,MARIBOR,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
STROJNIŠKA DELA,MODELIRANJE,GROSUPLJE,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
FIZIČNA DELA,NAKLADANJE/ RAZKLADANJE,VOJNIK,10.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3. 9. 2025
BLAGAJNIK,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V KUHINJI,POMIVALEC,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
