Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
ZDRAVSTVENA NEGA,POMOČ PRI NEGI,SLOVENSKA BISTRICA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
KOMERCIALNA DELA,POSPEŠEVANJE PRODAJE,TRZIN,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ UPORABNIKOM,OSEBNA ASISTENCA,LENDAVA,6.58,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
SOBAR/ICA,Brez naslova,BOVEC,8.0,Brez podatka,MED POČITNICAMI,IZMENSKO,Brez podatka
DELO V ZDRAVSTVU,POMOČ V ZOBOZDRAVSTVENI ORDINACIJI,DOMŽALE,6.32,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
KOZMETIČNE STORITVE,Brez naslova,LJUBLJANA,10.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.45,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STROKOVNO DELO,TEHNOLOG,POLJANE NAD ŠKOFJO LOKO,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,DELO V TRAFIKI,LJUBLJANA,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,VIDEM,6.32,2,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,8.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
STREŽBA,DELO V KAVARNI,KAMNIK,7.25,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.4,10,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V PROIZVODNJI,Brez naslova,KOPER,7.52,15,POČITNIŠKO DELO,IZMENSKO,Brez podatka
POMOČ V KUHINJI,Brez naslova,LJUBLJANA,7.4,10,POČITNIŠKO DELO,POPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,DELO S STRANKAMI,KOZINA,8.2,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA BENCINSKEM SERVISU,DELO S STRANKAMI,NOVO MESTO,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA BENCINSKEM SERVISU,DELO S STRANKAMI,LESKOVEC PRI KRŠKEM,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA BENCINSKEM SERVISU,DELO S STRANKAMI,DOL PRI LJUBLJANI,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
ELEKTROTEHNIČNA DELA,SESTAVLJANJE,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V PROIZVODNJI,Brez naslova,LJUBLJANA,6.32,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,VRHNIKA,7.74,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,KOMENDA,7.12,2,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POUČEVANJE,Brez naslova,KRANJ,13.42,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POUČEVANJE,Brez naslova,KRANJ,13.42,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POUČEVANJE,Brez naslova,KRANJ,13.42,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STROKOVNO DELO,ADMINISTRATIVNA DELA,KRANJ,9.47,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA TERENU,POMOČ PRI DOSTAVI,BEGUNJE NA GORENJSKEM,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STROKOVNO DELO,TEHNOLOG,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,ŽALEC,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.66,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
RAZVOZ,ŠOFER,KOPER,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO V PROIZVODNJI,DELO NA CNC STROJU,KRANJ,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,6.45,10,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.7,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,PROCESIRANJE SPLETNIH NAROČIL,TRZIN,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,DELO NA DELIKATESI,RADOVLJICA,6.88,2,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,SLOVENJ GRADEC,8.0,3,PO DOGOVORU,PO DOGOVORU,Brez podatka
TRŽENJE,TELEKOMUNIKACIJSKE STORITVE,LJUBLJANA,10.33,3,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO V LABORATORIJU,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
FIZIČNA DELA,Brez naslova,MENGEŠ,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,ŠOŠTANJ,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V KUHINJI,POMIVALEC,VIDEM DOBREPOLJE,6.45,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
BLAGAJNIK,PRODAJA,LESCE,9.47,5,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,PIRAN,8.5,4,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,Brez naslova,LESCE,6.32,5,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,DOLENJI BOŠTANJ,8.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
STREŽBA,STREŽBA NA STOJNICI,KRANJSKA GORA,10.0,3,POČITNIŠKO DELO OZ. PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V STREŽBI,Brez naslova,LOKA PRI ZIDANEM MOSTU,7.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,DOMŽALE,10.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V KUHINJI,PRIPRAVA HRANE,CERKNICA,8.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,ADLEŠIČI,8.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,ŠENTJERNEJ,7.8,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
SVETOVALEC/KA,FINANČNE STORITVE,LJUBLJANA,10.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,Brez naslova,LJUBLJANA,6.5,3,PO DOGOVORU,PO DOGOVORU,Brez podatka
STREŽBA,DELO V SLAŠČIČARNI,LJUBLJANA,8.4,3,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,KRŠKO,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,POLNJENJE POLIC IN BLAGAJNIK,VIDEM DOBREPOLJE,6.97,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.6,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
ZDRAVSTVENA NEGA,Brez naslova,KOMENDA,7.71,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,KOPER,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
RAZVOZ,RAZVOZ HRANE,SEVNICA,6.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
STREŽBA,Brez naslova,MOZIRJE,9.0,3,"POČITNIŠKO DELO, NAPREJ PO DOGOVORU",PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,TREBNJE,7.12,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,SLOVENSKA BISTRICA,7.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,MARIBOR,7.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,ŠENTJUR,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,PORTOROŽ,8.0,4,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,TREBNJE,8.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PROMOCIJA,Brez naslova,LJUBLJANA,10.0,6,POČITNIŠKO DELO,POPOLDAN,Brez podatka
FIZIČNA DELA,POMOČ PRI ZLAGANJU,AJDOVŠČINA,8.0,2,POČITNIŠKO DELO,IZMENSKO,Brez podatka
POMOČ V KUHINJI,Brez naslova,PORTOROŽ,8.0,2,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,PORTOROŽ,9.04,3,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,BARISTA,PORTOROŽ,9.04,2,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,DOB PRI DOMŽALAH,8.17,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
PRODAJA,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,10.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,DRAVOGRAD,6.91,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
BLAGAJNIK,PRODAJA,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,BOVEC,10.33,3,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,BOVEC,10.33,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,TOLMIN,8.61,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
PROMOCIJA,Brez naslova,PO SLOVENIJI,15.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
BLAGAJNIK,Brez naslova,KRANJSKA GORA,10.33,2,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,KRANJSKA GORA,10.33,6,POČITNIŠKO DELO,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,MOJSTRANA,10.33,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
POMOČ V TRGOVINI,POLNJENJE POLIC,MOJSTRANA,6.88,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
POMOČ V TRGOVINI,POLNJENJE POLIC,ŽIROVNICA,6.88,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.4,4,ČEZ POČITNICE,PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,7.4,5,ČEZ POČITNICE,POPOLDAN,Brez podatka
PROGRAMIRANJE,RAZVIJANJE APLIKACIJ,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,PRIPRAVA HRANE,LJUBLJANA,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,DELO V PEKARNI,KOPER,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
TRŽENJE,Brez naslova,LJUBLJANA,12.22,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PARKIRANJE VOZIL,Brez naslova,KOPER,6.32,10,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
KLICNI CENTER,Brez naslova,LJUBLJANA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
BLAGAJNIK,POLNJENJE POLIC,TRBOVLJE,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V LABORATORIJU,Brez naslova,LJUBLJANA,6.45,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,KRANJ,8.0,4,PO DOGOVORU,IZMENSKO,Brez podatka
GRADBENA DELA,OBRAČUNSKI REFERENT V GRADBENI OPERATIVI,LJUBLJANA,7.61,Brez podatka,POČITNIŠKO DELO,DOPOLDAN,Brez podatka
POMOČ V STREŽBI,TOČAJ-KA,LENART V SLOVENSKIH GORICAH,8.17,Brez podatka,PO DOGOVORU,MED VIKENDI,Brez podatka
PROMOCIJA,Brez naslova,NOVO MESTO,8.0,10,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
KOZMETIČNE STORITVE,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,DELO V PEKARNI,MARTULJEK,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ PRI PRODAJI,BLAGAJNIK,GOZD MARTULJEK,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,CELJE,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
STREŽBA,Brez naslova,DOL PRI LJUBLJANI,8.34,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V VELNESU,Brez naslova,SEČOVLJE,10.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,SLOVENSKA BISTRICA,6.32,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
OBLIKOVANJE,WEB PROGRAMING AND DESIGN,LJUBLJANA,12.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
SOBAR/ICA,Brez naslova,PORTOROŽ,8.0,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ZDRAVSTVENA NEGA,Brez naslova,LJUBLJANA,6.45,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V STREŽBI,Brez naslova,ŠTANJEL,12.0,3,PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V KUHINJI,Brez naslova,ŠTANJEL,10.0,3,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,ČRNOMELJ,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ PRI PRODAJI,POMOČ V PEKARNI IN TRGOVINI,GROSUPLJE,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,DELO V SLAŠČIČARNI,LESCE,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,MOKRONOG,9.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
MARKETING,TELEFONSKA PRODAJA,LJUBLJANA,9.0,5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA RAČUNALNIKU,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V STREŽBI,TOČAJ-KA,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA HRANE IN PIJAČE,DELO V KAVARNI,LJUBLJANA,9.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
MEDICINSKA SESTRA,BOLNIČAR-NEGOVALEC,RENČE,10.33,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PRODAJA,DELO NA PODROČJU ENERGETIKE,LJUBLJANA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STROKOVNO DELO,Brez naslova,TRZIN,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,9.0,2,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
SELITVE,UREJANJE OKOLICE,MARIBOR,6.88,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,LENDAVA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,Brez naslova,LJUBLJANA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
POMOČ V TRGOVINI,DELO NA DELIKATESI,PREDDVOR,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,DELO NA DELIKATESI,BRITOF,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,BLAGAJNIK,ŠENČUR,6.88,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,MESAR,JESENICE,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
BLAGAJNIK,Brez naslova,JESENICE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,KAMNIK,7.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,RADOVLJICA,6.32,4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POLNJENJE POLIC,Brez naslova,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V KUHINJI,Brez naslova,LJUBLJANA,8.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,MARIBOR,7.4,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V KUHINJI,PRIPRAVA HRANE,MARIBOR EUROPARK,7.4,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,IG PRI LJUBLJANI,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ČIŠČENJE,ČIŠČENJE POSLOVNIH PROSTOROV,LJUBLJANA,6.32,5,PO DOGOVORU,POPOLDAN,Brez podatka
STREŽBA,PRODAJA SLADOLEDA,PTUJ,7.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,KAMNIK,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ČIŠČENJE,Brez naslova,LJUBLJANA,10.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
DELO V ZDRAVSTVU,VOZNIK SANITETNEGA VOZILA,MARIBOR,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
DELO V PROIZVODNJI,RECIKLAŽA ODPADKOV,ŠMARTNO PRI SLOVENJ GRADCU,7.0,4,DO 31. 8. 2025,DOPOLDAN,Brez podatka
LAŽJA FIZIČNA DELA,KOMISIONIRANJE,LJUBLJANA,7.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,KRANJSKA GORA,8.5,2,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,VOLIČINA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,LOGATEC,7.5,3,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,ŽALEC,6.45,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
VADITELJ/ICA,DELO Z OTROKI,ŠKOFJA LOKA,11.19,Brez podatka,PO DOGOVORU,POPOLDAN,1. 9. 2025
POMOČ V STREŽBI,DELO V KAVARNI,LJUBLJANA,8.5,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,GOSTINSKA DELA,LJUBLJANA,8.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
KLICNI CENTER,Brez naslova,LJUBLJANA,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ZDRAVSTVENA NEGA,Brez naslova,IZOLA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,PRIPRAVA HRANE,LJUBLJANA,9.0,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,Brez naslova,LJUBLJANA,8.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO V TURIZMU,INŠTRUKTOR,KRVAVEC,10.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ČIŠČENJE,Brez naslova,KRŠKO,10.0,4,"SEPTEMBER, OKTOBER",PO DOGOVORU,22. 9. 2025
ČIŠČENJE,Brez naslova,KRŠKO,8.0,4,"SEPTEMBER, OKTOBER",DOPOLDAN,22. 9. 2025
ČIŠČENJE,ČIŠČENJE POSLOVNIH PROSTOROV,KRŠKO,7.0,5,"SEPTEMBER, OKTOBER",PO DOGOVORU,22. 9. 2025
POMOČ PRI PRODAJI,DELO NA BLAGAJNI,CELJE,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LUCIJA,8.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
ČIŠČENJE,POMOČ V KUHINJI IN STREŽBI,PTUJ,7.74,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,BLED,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
SPREMLJEVALEC/ SPREMLJEVALKA,OSEBNI ASISTENT INVALIDNI OSEBI,AJDOVŠČINA,7.41,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
